Date,Value,Thermostat,TempNorm
1/1/17,50.5,70,Cool
1/2/17,59.5,70,Cool
1/3/17,54.5,70,Cool
1/4/17,34.5,72,Cold
1/5/17,28.5,73,Cold
1/6/17,20.5,73,Cold
1/7/17,17,74,Cold
1/8/17,19.5,74,Cold
1/9/17,33.5,72,Cold
1/10/17,51.5,70,Cool
1/11/17,62,69,Cool
1/12/17,60.5,69,Cool
1/13/17,46.5,71,Cold
1/14/17,58,70,Cool
1/15/17,51.5,70,Cool
1/16/17,60,70,Cool
1/17/17,58.5,70,Cool
1/18/17,48,71,Cold
1/19/17,53.5,70,Cool
1/20/17,61.5,69,Cool
1/21/17,61.5,69,Cool
1/22/17,60,70,Cool
1/23/17,49,71,Cold
1/24/17,48.5,71,Cold
1/25/17,50,71,Cool
1/26/17,44.5,71,Cold
1/27/17,40,72,Cold
1/28/17,40.5,71,Cold
1/29/17,37.5,72,Cold
1/30/17,42,71,Cold
1/31/17,55.5,70,Cool
2/1/17,47.5,71,Cold
2/2/17,42.5,71,Cold
2/3/17,34.5,72,Cold
2/4/17,34.5,72,Cold
2/5/17,50.5,70,Cool
2/6/17,50,71,Cool
2/7/17,60,70,Cool
2/8/17,53,70,Cool
2/9/17,34,72,Cold
2/10/17,44,71,Cold
2/11/17,64.5,69,Cool
2/12/17,58,70,Cool
2/13/17,45,71,Cold
2/14/17,40,72,Cold
2/15/17,42,71,Cold
2/16/17,43.5,71,Cold
2/17/17,54.5,70,Cool
2/18/17,53,70,Cool
2/19/17,57.5,70,Cool
2/20/17,61.5,69,Cool
2/21/17,63.5,69,Cool
2/22/17,63,69,Cool
2/23/17,63.5,69,Cool
2/24/17,71.5,68,Warm
2/25/17,48,71,Cold
2/26/17,42,71,Cold
2/27/17,54,70,Cool
2/28/17,60,70,Cool
3/1/17,58,70,Cool
3/2/17,46,71,Cold
3/3/17,41.5,71,Cold
3/4/17,48.5,71,Cold
3/5/17,55.5,70,Cool
3/6/17,63,69,Cool
3/7/17,57.5,70,Cool
3/8/17,53,70,Cool
3/9/17,57,70,Cool
3/10/17,48,71,Cold
3/11/17,35,72,Cold
3/12/17,41.5,71,Cold
3/13/17,37.5,72,Cold
3/14/17,34,72,Cold
3/15/17,32,72,Cold
3/16/17,36,72,Cold
3/17/17,53.5,70,Cool
3/18/17,53,70,Cool
3/19/17,47.5,71,Cold
3/20/17,64,69,Cool
3/21/17,67,69,Cool
3/22/17,51,70,Cool
3/23/17,55,70,Cool
3/24/17,67,69,Cool
