Date,Value
1/1/17,55.00
1/2/17,65.00
1/3/17,66.00
1/4/17,43.00
1/5/17,33.00
1/6/17,25.00
1/7/17,23.00
1/8/17,31.00
1/9/17,45.00
1/10/17,58.00
1/11/17,69.00
1/12/17,71.00
1/13/17,49.00
1/14/17,70.00
1/15/17,58.00
1/16/17,72.00
1/17/17,66.00
1/18/17,51.00
1/19/17,60.00
1/20/17,69.00
1/21/17,70.00
1/22/17,67.00
1/23/17,56.00
1/24/17,56.00
1/25/17,60.00
1/26/17,52.00
1/27/17,46.00
1/28/17,54.00
1/29/17,41.00
1/30/17,54.00
1/31/17,70.00
2/1/17,61.00
2/2/17,49.00
2/3/17,44.00
2/4/17,49.00
2/5/17,60.00
2/6/17,62.00
2/7/17,64.00
2/8/17,69.00
2/9/17,40.00
2/10/17,65.00
2/11/17,70.00
2/12/17,72.00
2/13/17,57.00
2/14/17,46.00
2/15/17,51.00
2/16/17,60.00
2/17/17,71.00
2/18/17,57.00
2/19/17,70.00
2/20/17,77.00
2/21/17,71.00
2/22/17,71.00
2/23/17,75.00
2/24/17,81.00
2/25/17,62.00
2/26/17,57.00
2/27/17,63.00
2/28/17,69.00
3/1/17,72.00
3/2/17,55.00
3/3/17,51.00
3/4/17,69.00
3/5/17,69.00
3/6/17,70.00
3/7/17,67.00
3/8/17,70.00
3/9/17,77.00
3/10/17,57.00
3/11/17,40.00
3/12/17,52.00
3/13/17,48.00
3/14/17,40.00
3/15/17,41.00
3/16/17,51.00
3/17/17,64.00
3/18/17,67.00
3/19/17,61.00
3/20/17,84.00
3/21/17,79.00
3/22/17,59.00
3/23/17,72.00
3/24/17,75.00
3/25/17,76.00
3/26/17,75.00
3/27/17,78.00
3/28/17,74.00
3/29/17,82.00
3/30/17,80.00
3/31/17,64.00
4/1/17,60.00
4/2/17,82.00
4/3/17,74.00
4/4/17,81.00
4/5/17,84.00
4/6/17,60.00
4/7/17,64.00
4/8/17,72.00
4/9/17,81.00
4/10/17,81.00
4/11/17,81.00
4/12/17,79.00
4/13/17,86.00
4/14/17,89.00
4/15/17,86.00
4/16/17,85.00
4/17/17,79.00
4/18/17,78.00
4/19/17,83.00
4/20/17,85.00
4/21/17,74.00
4/22/17,60.00
4/23/17,53.00
4/24/17,70.00
4/25/17,77.00
4/26/17,83.00
4/27/17,74.00
4/28/17,84.00
4/29/17,91.00
4/30/17,84.00
5/1/17,69.00
5/2/17,79.00
5/3/17,79.00
5/4/17,65.00
5/5/17,54.00
5/6/17,71.00
5/7/17,73.00
5/8/17,82.00
5/9/17,85.00
5/10/17,85.00
5/11/17,84.00
5/12/17,73.00
5/13/17,76.00
5/14/17,85.00
5/15/17,87.00
5/16/17,89.00
5/17/17,89.00
5/18/17,89.00
5/19/17,91.00
5/20/17,91.00
5/21/17,84.00
5/22/17,76.00
5/23/17,80.00
5/24/17,67.00
5/25/17,75.00
5/26/17,88.00
5/27/17,83.00
5/28/17,81.00
5/29/17,83.00
5/30/17,85.00
5/31/17,87.00
6/1/17,88.00
6/2/17,88.00
6/3/17,89.00
6/4/17,84.00
6/5/17,76.00
6/6/17,83.00
6/7/17,80.00
6/8/17,77.00
6/9/17,82.00
6/10/17,87.00
6/11/17,91.00
6/12/17,92.00
6/13/17,93.00
6/14/17,94.00
6/15/17,88.00
6/16/17,88.00
6/17/17,91.00
6/18/17,90.00
6/19/17,87.00
6/20/17,90.00
6/21/17,88.00
6/22/17,83.00
6/23/17,87.00
6/24/17,86.00
6/25/17,85.00
6/26/17,83.00
6/27/17,85.00
6/28/17,88.00
6/29/17,89.00
6/30/17,90.00
7/1/17,92.00
7/2/17,86.00
7/3/17,88.00
7/4/17,87.00
7/5/17,82.00
7/6/17,91.00
7/7/17,90.00
7/8/17,91.00
7/9/17,91.00
7/10/17,93.00
7/11/17,95.00
7/12/17,94.00
7/13/17,93.00
7/14/17,91.00
7/15/17,86.00
7/16/17,91.00
7/17/17,92.00
7/18/17,94.00
7/19/17,96.00
7/20/17,97.00
7/21/17,98.00
7/22/17,98.00
7/23/17,96.00
7/24/17,94.00
7/25/17,96.00
7/26/17,96.00
7/27/17,92.00
7/28/17,88.00
7/29/17,84.00
7/30/17,88.00
7/31/17,91.00
8/1/17,87.00
8/2/17,88.00
8/3/17,90.00
8/4/17,85.00
8/5/17,83.00
8/6/17,91.00
8/7/17,81.00
8/8/17,85.00
8/9/17,88.00
8/10/17,90.00
8/11/17,90.00
8/12/17,88.00
8/13/17,88.00
8/14/17,81.00
8/15/17,90.00
8/16/17,92.00
8/17/17,91.00
8/18/17,89.00
8/19/17,93.00
8/20/17,96.00
8/21/17,95.00
8/22/17,92.00
8/23/17,84.00
8/24/17,84.00
8/25/17,84.00
8/26/17,85.00
8/27/17,91.00
8/28/17,76.00
8/29/17,87.00
8/30/17,85.00
8/31/17,81.00
9/1/17,73.00
9/2/17,80.00
9/3/17,86.00
9/4/17,88.00
9/5/17,77.00
9/6/17,74.00
9/7/17,74.00
9/8/17,79.00
9/9/17,81.00
9/10/17,80.00
9/11/17,67.00
9/12/17,65.00
9/13/17,64.00
9/14/17,83.00
9/15/17,86.00
9/16/17,88.00
9/17/17,90.00
9/18/17,89.00
9/19/17,85.00
9/20/17,92.00
9/21/17,92.00
9/22/17,92.00
9/23/17,92.00
9/24/17,91.00
9/25/17,91.00
9/26/17,91.00
9/27/17,92.00
9/28/17,82.00
9/29/17,81.00
9/30/17,77.00
10/1/17,83.00
10/2/17,81.00
10/3/17,86.00
10/4/17,84.00
10/5/17,84.00
10/6/17,85.00
10/7/17,85.00
10/8/17,77.00
10/9/17,84.00
10/10/17,84.00
10/11/17,75.00
10/12/17,65.00
10/13/17,79.00
10/14/17,86.00
10/15/17,83.00
10/16/17,67.00
10/17/17,70.00
10/18/17,74.00
10/19/17,77.00
10/20/17,79.00
10/21/17,79.00
10/22/17,81.00
10/23/17,72.00
10/24/17,64.00
10/25/17,59.00
10/26/17,74.00
10/27/17,72.00
10/28/17,50.00
10/29/17,48.00
10/30/17,71.00
10/31/17,59.00
11/1/17,66.00
11/2/17,72.00
11/3/17,73.00
11/4/17,80.00
11/5/17,82.00
11/6/17,72.00
11/7/17,60.00
11/8/17,57.00
11/9/17,63.00
11/10/17,52.00
11/11/17,62.00
11/12/17,57.00
11/13/17,52.00
11/14/17,60.00
11/15/17,59.00
11/16/17,60.00
11/17/17,66.00
11/18/17,68.00
11/19/17,48.00
11/20/17,55.00
11/21/17,61.00
11/22/17,49.00
11/23/17,55.00
11/24/17,64.00
11/25/17,67.00
11/26/17,62.00
11/27/17,65.00
11/28/17,68.00
11/29/17,69.00
11/30/17,65.00
12/1/17,61.00
12/2/17,66.00
12/3/17,66.00
12/4/17,70.00
12/5/17,64.00
12/6/17,48.00
12/7/17,46.00
12/8/17,35.00
12/9/17,39.00
12/10/17,49.00
12/11/17,60.00
12/12/17,49.00
12/13/17,51.00
12/14/17,48.00
12/15/17,42.00
12/16/17,53.00
12/17/17,48.00
12/18/17,55.00
12/19/17,58.00
12/20/17,54.00
12/21/17,57.00
12/22/17,60.00
12/23/17,69.00
12/24/17,43.00
12/25/17,33.00
12/26/17,42.00
12/27/17,29.00
12/28/17,36.00
12/29/17,40.00
12/30/17,38.00
12/31/17,26.00
1/1/18,23.00
1/2/18,27.00
1/3/18,37.00
1/4/18,24.00
1/5/18,31.00
1/6/18,30.00
1/7/18,46.00
1/8/18,43.00
1/9/18,49.00
1/10/18,66.00
1/11/18,69.00
1/12/18,62.00
1/13/18,26.00
1/14/18,29.00
1/15/18,48.00
1/16/18,26.00
1/17/18,22.00
1/18/18,37.00
1/19/18,49.00
1/20/18,65.00
1/21/18,69.00
1/22/18,63.00
1/23/18,51.00
1/24/18,51.00
1/25/18,59.00
1/26/18,62.00
1/27/18,61.00
1/28/18,59.00
1/29/18,51.00
1/30/18,40.00
1/31/18,59.00
2/1/18,54.00
2/2/18,32.00
2/3/18,51.00
2/4/18,52.00
2/5/18,39.00
2/6/18,43.00
2/7/18,44.00
2/8/18,47.00
2/9/18,66.00
2/10/18,58.00
2/11/18,63.00
2/12/18,39.00
2/13/18,60.00
2/14/18,64.00
2/15/18,77.00
2/16/18,70.00
2/17/18,48.00
2/18/18,61.00
2/19/18,76.00
2/20/18,80.00
2/21/18,74.00
2/22/18,63.00
2/23/18,82.00
2/24/18,79.00
2/25/18,57.00
2/26/18,65.00
2/27/18,69.00
2/28/18,59.00
3/1/18,63.00
3/2/18,57.00
3/3/18,58.00
3/4/18,65.00
3/5/18,57.00
3/6/18,66.00
3/7/18,43.00
3/8/18,43.00
3/9/18,62.00
3/10/18,67.00
3/11/18,54.00
3/12/18,49.00
3/13/18,52.00
3/14/18,50.00
3/15/18,72.00
3/16/18,73.00
3/17/18,80.00
3/18/18,62.00
3/19/18,69.00
3/20/18,56.00
3/21/18,51.00
3/22/18,57.00
3/23/18,60.00
3/24/18,64.00
