Date,Value
1/1/17,46.0
1/2/17,54.0
1/3/17,43.0
1/4/17,26.0
1/5/17,24.0
1/6/17,16.0
1/7/17,11.0
1/8/17,8.0
1/9/17,22.0
1/10/17,45.0
1/11/17,55.0
1/12/17,50.0
1/13/17,44.0
1/14/17,46.0
1/15/17,45.0
1/16/17,48.0
1/17/17,51.0
1/18/17,45.0
1/19/17,47.0
1/20/17,54.0
1/21/17,53.0
1/22/17,53.0
1/23/17,42.0
1/24/17,41.0
1/25/17,40.0
1/26/17,37.0
1/27/17,34.0
1/28/17,27.0
1/29/17,34.0
1/30/17,30.0
1/31/17,41.0
2/1/17,34.0
2/2/17,36.0
2/3/17,25.0
2/4/17,20.0
2/5/17,41.0
2/6/17,38.0
2/7/17,56.0
2/8/17,37.0
2/9/17,28.0
2/10/17,23.0
2/11/17,59.0
2/12/17,44.0
2/13/17,33.0
2/14/17,34.0
2/15/17,33.0
2/16/17,27.0
2/17/17,38.0
2/18/17,49.0
2/19/17,45.0
2/20/17,46.0
2/21/17,56.0
2/22/17,55.0
2/23/17,52.0
2/24/17,62.0
2/25/17,34.0
2/26/17,27.0
2/27/17,45.0
2/28/17,51.0
3/1/17,44.0
3/2/17,37.0
3/3/17,32.0
3/4/17,28.0
3/5/17,42.0
3/6/17,56.0
3/7/17,48.0
3/8/17,36.0
3/9/17,37.0
3/10/17,39.0
3/11/17,30.0
3/12/17,31.0
3/13/17,27.0
3/14/17,28.0
3/15/17,23.0
3/16/17,21.0
3/17/17,43.0
3/18/17,39.0
3/19/17,34.0
3/20/17,44.0
3/21/17,55.0
3/22/17,43.0
3/23/17,38.0
3/24/17,59.0
3/25/17,58.0
3/26/17,57.0
3/27/17,57.0
3/28/17,55.0
3/29/17,50.0
3/30/17,55.0
3/31/17,52.0
4/1/17,47.0
4/2/17,43.0
4/3/17,60.0
4/4/17,56.0
4/5/17,49.0
4/6/17,43.0
4/7/17,43.0
4/8/17,37.0
4/9/17,45.0
4/10/17,58.0
4/11/17,57.0
4/12/17,54.0
4/13/17,48.0
4/14/17,54.0
4/15/17,60.0
4/16/17,66.0
4/17/17,63.0
4/18/17,63.0
4/19/17,61.0
4/20/17,61.0
4/21/17,59.0
4/22/17,52.0
4/23/17,50.0
4/24/17,53.0
4/25/17,50.0
4/26/17,55.0
4/27/17,54.0
4/28/17,52.0
4/29/17,73.0
4/30/17,67.0
5/1/17,55.0
5/2/17,48.0
5/3/17,54.0
5/4/17,54.0
5/5/17,47.0
5/6/17,43.0
5/7/17,42.0
5/8/17,49.0
5/9/17,63.0
5/10/17,62.0
5/11/17,65.0
5/12/17,61.0
5/13/17,56.0
5/14/17,52.0
5/15/17,57.0
5/16/17,60.0
5/17/17,68.0
5/18/17,71.0
5/19/17,70.0
5/20/17,68.0
5/21/17,67.0
5/22/17,60.0
5/23/17,63.0
5/24/17,56.0
5/25/17,54.0
5/26/17,54.0
5/27/17,65.0
5/28/17,64.0
5/29/17,65.0
5/30/17,64.0
5/31/17,60.0
6/1/17,63.0
6/2/17,64.0
6/3/17,67.0
6/4/17,68.0
6/5/17,69.0
6/6/17,63.0
6/7/17,58.0
6/8/17,56.0
6/9/17,53.0
6/10/17,59.0
6/11/17,64.0
6/12/17,72.0
6/13/17,71.0
6/14/17,71.0
6/15/17,68.0
6/16/17,69.0
6/17/17,68.0
6/18/17,70.0
6/19/17,65.0
6/20/17,63.0
6/21/17,64.0
6/22/17,72.0
6/23/17,76.0
6/24/17,69.0
6/25/17,62.0
6/26/17,61.0
6/27/17,64.0
6/28/17,59.0
6/29/17,70.0
6/30/17,72.0
7/1/17,71.0
7/2/17,70.0
7/3/17,70.0
7/4/17,70.0
7/5/17,71.0
7/6/17,70.0
7/7/17,72.0
7/8/17,69.0
7/9/17,65.0
7/10/17,68.0
7/11/17,68.0
7/12/17,72.0
7/13/17,75.0
7/14/17,76.0
7/15/17,71.0
7/16/17,71.0
7/17/17,67.0
7/18/17,69.0
7/19/17,74.0
7/20/17,73.0
7/21/17,74.0
7/22/17,76.0
7/23/17,73.0
7/24/17,70.0
7/25/17,76.0
7/26/17,75.0
7/27/17,77.0
7/28/17,75.0
7/29/17,69.0
7/30/17,63.0
7/31/17,64.0
8/1/17,68.0
8/2/17,70.0
8/3/17,69.0
8/4/17,65.0
8/5/17,58.0
8/6/17,65.0
8/7/17,73.0
8/8/17,69.0
8/9/17,65.0
8/10/17,72.0
8/11/17,72.0
8/12/17,71.0
8/13/17,66.0
8/14/17,72.0
8/15/17,74.0
8/16/17,73.0
8/17/17,75.0
8/18/17,70.0
8/19/17,67.0
8/20/17,72.0
8/21/17,70.0
8/22/17,72.0
8/23/17,68.0
8/24/17,61.0
8/25/17,61.0
8/26/17,63.0
8/27/17,60.0
8/28/17,67.0
8/29/17,63.0
8/30/17,67.0
8/31/17,70.0
9/1/17,58.0
9/2/17,58.0
9/3/17,54.0
9/4/17,64.0
9/5/17,59.0
9/6/17,53.0
9/7/17,50.0
9/8/17,50.0
9/9/17,55.0
9/10/17,55.0
9/11/17,58.0
9/12/17,58.0
9/13/17,60.0
9/14/17,63.0
9/15/17,61.0
9/16/17,63.0
9/17/17,64.0
9/18/17,66.0
9/19/17,67.0
9/20/17,67.0
9/21/17,69.0
9/22/17,67.0
9/23/17,68.0
9/24/17,68.0
9/25/17,66.0
9/26/17,66.0
9/27/17,64.0
9/28/17,63.0
9/29/17,56.0
9/30/17,53.0
10/1/17,51.0
10/2/17,56.0
10/3/17,63.0
10/4/17,58.0
10/5/17,57.0
10/6/17,57.0
10/7/17,62.0
10/8/17,72.0
10/9/17,70.0
10/10/17,74.0
10/11/17,58.0
10/12/17,51.0
10/13/17,46.0
10/14/17,56.0
10/15/17,53.0
10/16/17,46.0
10/17/17,42.0
10/18/17,42.0
10/19/17,44.0
10/20/17,44.0
10/21/17,49.0
10/22/17,62.0
10/23/17,50.0
10/24/17,43.0
10/25/17,42.0
10/26/17,37.0
10/27/17,41.0
10/28/17,39.0
10/29/17,31.0
10/30/17,30.0
10/31/17,37.0
11/1/17,49.0
11/2/17,61.0
11/3/17,64.0
11/4/17,63.0
11/5/17,68.0
11/6/17,58.0
11/7/17,49.0
11/8/17,47.0
11/9/17,41.0
11/10/17,36.0
11/11/17,31.0
11/12/17,48.0
11/13/17,39.0
11/14/17,37.0
11/15/17,39.0
11/16/17,39.0
11/17/17,34.0
11/18/17,44.0
11/19/17,29.0
11/20/17,25.0
11/21/17,34.0
11/22/17,30.0
11/23/17,24.0
11/24/17,29.0
11/25/17,43.0
11/26/17,33.0
11/27/17,30.0
11/28/17,35.0
11/29/17,34.0
11/30/17,46.0
12/1/17,39.0
12/2/17,41.0
12/3/17,36.0
12/4/17,45.0
12/5/17,35.0
12/6/17,33.0
12/7/17,29.0
12/8/17,27.0
12/9/17,20.0
12/10/17,21.0
12/11/17,29.0
12/12/17,26.0
12/13/17,20.0
12/14/17,33.0
12/15/17,28.0
12/16/17,27.0
12/17/17,40.0
12/18/17,40.0
12/19/17,40.0
12/20/17,48.0
12/21/17,47.0
12/22/17,54.0
12/23/17,40.0
12/24/17,29.0
12/25/17,24.0
12/26/17,29.0
12/27/17,17.0
12/28/17,14.0
12/29/17,19.0
12/30/17,19.0
12/31/17,13.0
1/1/18,6.0
1/2/18,5.0
1/3/18,16.0
1/4/18,11.0
1/5/18,15.0
1/6/18,12.0
1/7/18,17.0
1/8/18,37.0
1/9/18,40.0
1/10/18,41.0
1/11/18,56.0
1/12/18,23.0
1/13/18,16.0
1/14/18,13.0
1/15/18,23.0
1/16/18,5.0
1/17/18,7.0
1/18/18,8.0
1/19/18,18.0
1/20/18,40.0
1/21/18,49.0
1/22/18,51.0
1/23/18,38.0
1/24/18,30.0
1/25/18,25.0
1/26/18,34.0
1/27/18,50.0
1/28/18,40.0
1/29/18,29.0
1/30/18,24.0
1/31/18,27.0
2/1/18,27.0
2/2/18,19.0
2/3/18,22.0
2/4/18,28.0
2/5/18,24.0
2/6/18,36.0
2/7/18,29.0
2/8/18,22.0
2/9/18,28.0
2/10/18,50.0
2/11/18,32.0
2/12/18,31.0
2/13/18,38.0
2/14/18,55.0
2/15/18,63.0
2/16/18,42.0
2/17/18,41.0
2/18/18,34.0
2/19/18,58.0
2/20/18,63.0
2/21/18,49.0
2/22/18,51.0
2/23/18,56.0
2/24/18,57.0
2/25/18,50.0
2/26/18,42.0
2/27/18,37.0
2/28/18,52.0
3/1/18,47.0
3/2/18,38.0
3/3/18,35.0
3/4/18,35.0
3/5/18,44.0
3/6/18,43.0
3/7/18,33.0
3/8/18,29.0
3/9/18,26.0
3/10/18,46.0
3/11/18,36.0
3/12/18,33.0
3/13/18,32.0
3/14/18,30.0
3/15/18,41.0
3/16/18,41.0
3/17/18,49.0
3/18/18,46.0
3/19/18,50.0
3/20/18,34.0
3/21/18,34.0
3/22/18,30.0
3/23/18,43.0
3/24/18,45.0
3/25/18,45.0
3/26/18,46.0
3/27/18,51.0
3/28/18,61.0
3/29/18,53.0
3/30/18,42.0
3/31/18,35.0
4/1/18,51.0
4/2/18,45.0
4/3/18,50.0
4/4/18,36.0
4/5/18,33.0
4/6/18,39.0
4/7/18,31.0
4/8/18,30.0
4/9/18,43.0
4/10/18,40.0
4/11/18,33.0
4/12/18,52.0
4/13/18,62.0
4/14/18,58.0
4/15/18,40.0
4/16/18,34.0
4/17/18,30.0
4/18/18,52.0
4/19/18,41.0
4/20/18,34.0
4/21/18,40.0
4/22/18,56.0
4/23/18,57.0
4/24/18,57.0
4/25/18,56.0
4/26/18,53.0
4/27/18,45.0
4/28/18,47.0
4/29/18,42.0
4/30/18,37.0
5/1/18,48.0
5/2/18,60.0
5/3/18,65.0
5/4/18,69.0
5/5/18,57.0
5/6/18,54.0
5/7/18,56.0
5/8/18,53.0
5/9/18,56.0
5/10/18,67.0
5/11/18,68.0
5/12/18,65.0
5/13/18,62.0
5/14/18,66.0
5/15/18,69.0
5/16/18,66.0
5/17/18,67.0
5/18/18,68.0
5/19/18,67.0
5/20/18,64.0
5/21/18,67.0
5/22/18,66.0
5/23/18,66.0
5/24/18,67.0
5/25/18,66.0
5/26/18,67.0
5/27/18,68.0
5/28/18,71.0
5/29/18,71.0
5/30/18,71.0
